id,Easting,Northing,Longitude,Latitude
638,708259.500,9324001.000,106.882,-6.112
657,708247.500,9324000.500,106.882,-6.112
658,708248.000,9324000.500,106.882,-6.112
659,708248.500,9324000.500,106.882,-6.112
660,708249.000,9324000.500,106.882,-6.112
661,708249.500,9324000.500,106.882,-6.112
662,708250.000,9324000.500,106.882,-6.112
663,708250.500,9324000.500,106.882,-6.112
664,708251.000,9324000.500,106.882,-6.112
665,708251.500,9324000.500,106.882,-6.112
666,708252.000,9324000.500,106.882,-6.112
667,708252.500,9324000.500,106.882,-6.112
668,708253.000,9324000.500,106.882,-6.112
669,708253.500,9324000.500,106.882,-6.112
670,708254.000,9324000.500,106.882,-6.112
671,708254.500,9324000.500,106.882,-6.112
672,708255.000,9324000.500,106.882,-6.112
673,708255.500,9324000.500,106.882,-6.112
674,708256.000,9324000.500,106.882,-6.112
675,708256.500,9324000.500,106.882,-6.112
676,708257.000,9324000.500,106.882,-6.112
677,708257.500,9324000.500,106.882,-6.112
678,708258.000,9324000.500,106.882,-6.112
679,708258.500,9324000.500,106.882,-6.112
680,708259.000,9324000.500,106.882,-6.112
699,708247.000,9324000.000,106.882,-6.112
700,708247.500,9324000.000,106.882,-6.112
701,708248.000,9324000.000,106.882,-6.112
702,708248.500,9324000.000,106.882,-6.112
703,708249.000,9324000.000,106.882,-6.112
704,708249.500,9324000.000,106.882,-6.112
705,708250.000,9324000.000,106.882,-6.112
706,708250.500,9324000.000,106.882,-6.112
707,708251.000,9324000.000,106.882,-6.112
708,708251.500,9324000.000,106.882,-6.112
709,708252.000,9324000.000,106.882,-6.112
710,708252.500,9324000.000,106.882,-6.112
711,708253.000,9324000.000,106.882,-6.112
712,708253.500,9324000.000,106.882,-6.112
713,708254.000,9324000.000,106.882,-6.112
714,708254.500,9324000.000,106.882,-6.112
715,708255.000,9324000.000,106.882,-6.112
716,708255.500,9324000.000,106.882,-6.112
717,708256.000,9324000.000,106.882,-6.112
718,708256.500,9324000.000,106.882,-6.112
719,708257.000,9324000.000,106.882,-6.112
720,708257.500,9324000.000,106.882,-6.112
721,708258.000,9324000.000,106.882,-6.112
722,708258.500,9324000.000,106.882,-6.112
723,708259.000,9324000.000,106.882,-6.112
724,708259.500,9324000.000,106.882,-6.112
741,708246.500,9323999.500,106.882,-6.112
742,708247.000,9323999.500,106.882,-6.112
743,708247.500,9323999.500,106.882,-6.112
744,708248.000,9323999.500,106.882,-6.112
745,708248.500,9323999.500,106.882,-6.112
746,708249.000,9323999.500,106.882,-6.112
747,708249.500,9323999.500,106.882,-6.112
748,708250.000,9323999.500,106.882,-6.112
749,708250.500,9323999.500,106.882,-6.112
750,708251.000,9323999.500,106.882,-6.112
751,708251.500,9323999.500,106.882,-6.112
752,708252.000,9323999.500,106.882,-6.112
753,708252.500,9323999.500,106.882,-6.112
754,708253.000,9323999.500,106.882,-6.112
755,708253.500,9323999.500,106.882,-6.112
756,708254.000,9323999.500,106.882,-6.112
757,708254.500,9323999.500,106.882,-6.112
758,708255.000,9323999.500,106.882,-6.112
759,708255.500,9323999.500,106.882,-6.112
760,708256.000,9323999.500,106.882,-6.112
761,708256.500,9323999.500,106.882,-6.112
762,708257.000,9323999.500,106.882,-6.112
763,708257.500,9323999.500,106.882,-6.112
764,708258.000,9323999.500,106.882,-6.112
765,708258.500,9323999.500,106.882,-6.112
766,708259.000,9323999.500,106.882,-6.112
767,708259.500,9323999.500,106.882,-6.112
782,708245.500,9323999.000,106.882,-6.112
783,708246.000,9323999.000,106.882,-6.112
784,708246.500,9323999.000,106.882,-6.112
785,708247.000,9323999.000,106.882,-6.112
786,708247.500,9323999.000,106.882,-6.112
787,708248.000,9323999.000,106.882,-6.112
788,708248.500,9323999.000,106.882,-6.112
789,708249.000,9323999.000,106.882,-6.112
790,708249.500,9323999.000,106.882,-6.112
791,708250.000,9323999.000,106.882,-6.112
792,708250.500,9323999.000,106.882,-6.112
793,708251.000,9323999.000,106.882,-6.112
794,708251.500,9323999.000,106.882,-6.112
795,708252.000,9323999.000,106.882,-6.112
796,708252.500,9323999.000,106.882,-6.112
797,708253.000,9323999.000,106.882,-6.112
798,708253.500,9323999.000,106.882,-6.112
799,708254.000,9323999.000,106.882,-6.112
800,708254.500,9323999.000,106.882,-6.112
801,708255.000,9323999.000,106.882,-6.112
802,708255.500,9323999.000,106.882,-6.112
