id,longitude,latitude,dist_to_prev_m,utm_x,utm_y
277,106.881822,-6.112436,0.44225107043526146,708253.9505146507,9324002.232680699
278,106.881827,-6.112436,0.552813837651279,708254.5040411132,9324002.230744181
279,106.881831,-6.112436,0.44225107043526146,708254.9468622841,9324002.229194961
280,106.881836,-6.112436,0.552813837651279,708255.5003887496,9324002.227258433
281,106.88184,-6.112436,0.4422510688640701,708255.9432099212,9324002.225709207
282,106.881845,-6.112436,0.552813837651279,708256.4967363882,9324002.22377267
283,106.881849,-6.112436,0.44225107043526146,708256.9395575635,9324002.222223435
284,106.881854,-6.112436,0.552813837651279,708257.4930840346,9324002.220286889
285,106.881858,-6.112436,0.4422510688640701,708257.9359052108,9324002.218737647
286,106.881863,-6.112436,0.552813837651279,708258.4894316833,9324002.216801092
287,106.881867,-6.112436,0.44225107043526146,708258.9322528632,9324002.215251843
288,106.881872,-6.112436,0.552813837651279,708259.4857793399,9324002.213315276
292,106.881759,-6.112441,12.505957202791729,708246.9741467322,9324001.704073815
293,106.881764,-6.112441,0.5528138324850922,708247.52767317,9324001.70213736
294,106.881768,-6.112441,0.4422510647311205,708247.9704943197,9324001.70058819
295,106.881773,-6.112441,0.5528138324850922,708248.5240207589,9324001.698651727
296,106.881777,-6.112441,0.442251066302312,708248.9668419121,9324001.69710255
297,106.881782,-6.112441,0.5528138324850922,708249.5203683556,9324001.695166077
298,106.881786,-6.112441,0.442251066302312,708249.9631895112,9324001.693616893
299,106.881791,-6.112441,0.5528138324850922,708250.5167159574,9324001.69168041
300,106.881795,-6.112441,0.4422510647311205,708250.9595371138,9324001.69013122
301,106.8818,-6.112441,0.5528138324850922,708251.5130635614,9324001.688194728
302,106.881804,-6.112441,0.442251066302312,708251.9558847216,9324001.686645528
303,106.881809,-6.112441,0.5528138324850922,708252.5094111734,9324001.684709027
304,106.881813,-6.112441,0.4422510647311205,708252.9522323342,9324001.683159823
305,106.881818,-6.112441,0.5528138324850922,708253.5057587875,9324001.68122331
306,106.881822,-6.112441,0.442251066302312,708253.9485799521,9324001.679674098
307,106.881827,-6.112441,0.5528138324850922,708254.5021064096,9324001.677737577
308,106.881831,-6.112441,0.442251066302312,708254.9449275763,9324001.676188357
309,106.881836,-6.112441,0.5528138324850922,708255.4984540367,9324001.674251826
310,106.88184,-6.112441,0.4422510647311205,708255.9412752043,9324001.6727026
311,106.881845,-6.112441,0.5528138324850922,708256.4948016659,9324001.670766061
312,106.881849,-6.112441,0.442251066302312,708256.9376228373,9324001.669216825
313,106.881854,-6.112441,0.5528138324850922,708257.4911493033,9324001.667280277
314,106.881858,-6.112441,0.4422510647311205,708257.9339704753,9324001.665731035
315,106.881863,-6.112441,0.5528138324850922,708258.4874969426,9324001.663794477
316,106.881867,-6.112441,0.442251066302312,708258.9303181184,9324001.662245227
317,106.881872,-6.112441,0.5528138324850922,708259.4838445899,9324001.66030866
321,106.881759,-6.112445,12.501507274207906,708246.9725990242,9324001.26166855
322,106.881764,-6.112445,0.5528138283521395,708247.5261254578,9324001.259732094
323,106.881768,-6.112445,0.4422510614247585,708247.9689466043,9324001.258182924
324,106.881773,-6.112445,0.5528138283521395,708248.5224730393,9324001.256246457
325,106.881777,-6.112445,0.44225106299594985,708248.9652941894,9324001.25469728
326,106.881782,-6.112445,0.5528138283521395,708249.5188206286,9324001.252760805
327,106.881786,-6.112445,0.44225106299594985,708249.9616417809,9324001.25121162
328,106.881791,-6.112445,0.5528138283521395,708250.5151682231,9324001.249275137
329,106.881795,-6.112445,0.4422510614247585,708250.9579893762,9324001.247725945
330,106.8818,-6.112445,0.5528138283521395,708251.5115158197,9324001.245789452
331,106.881804,-6.112445,0.44225106299594985,708251.9543369764,9324001.244240252
332,106.881809,-6.112445,0.5528138283521395,708252.507863424,9324001.24230375
333,106.881813,-6.112445,0.4422510614247585,708252.9506845819,9324001.240754543
334,106.881818,-6.112445,0.5528138283521395,708253.5042110309,9324001.23881803
335,106.881822,-6.112445,0.44225106299594985,708253.947032192,9324001.237268817
336,106.881827,-6.112445,0.5528138283521395,708254.5005586455,9324001.235332295
337,106.881831,-6.112445,0.44225106299594985,708254.9433798089,9324001.233783074
338,106.881836,-6.112445,0.5528138283521395,708255.4969062652,9324001.231846541
339,106.88184,-6.112445,0.4422510614247585,708255.9397274295,9324001.230297314
340,106.881845,-6.112445,0.5528138283521395,708256.4932538872,9324001.228360774
341,106.881849,-6.112445,0.44225106299594985,708256.9360750552,9324001.226811538
342,106.881854,-6.112445,0.5528138283521395,708257.4896015169,9324001.224874988
343,106.881858,-6.112445,0.4422510614247585,708257.9324226857,9324001.223325744
344,106.881863,-6.112445,0.5528138283521395,708258.4859491489,9324001.221389186
345,106.881867,-6.112445,0.44225106299594985,708258.9287703213,9324001.219839934
346,106.881872,-6.112445,0.5528138283521395,708259.4822967888,9324001.217903366
350,106.881759,-6.11245,12.505956992838874,708246.9706643878,9324000.708661968
351,106.881764,-6.11245,0.552813823185945,708247.5241908163,9324000.70672551
352,106.881768,-6.11245,0.442251057291803,708247.9670119586,9324000.705176339
353,106.881773,-6.11245,0.552813823185945,708248.5205383885,9324000.703239871
354,106.881777,-6.11245,0.44225105886299426,708248.9633595345,9324000.701690692
355,106.881782,-6.11245,0.552813823185945,708249.5168859686,9324000.699754216
356,106.881786,-6.11245,0.44225105886299426,708249.9597071167,9324000.698205031
357,106.881791,-6.11245,0.552813823185945,708250.5132335537,9324000.696268544
358,106.881795,-6.11245,0.442251057291803,708250.9560547026,9324000.694719352
359,106.8818,-6.11245,0.552813823185945,708251.509581141,9324000.692782857
360,106.881804,-6.11245,0.44225105886299426,708251.9524022937,9324000.691233655
361,106.881809,-6.11245,0.552813823185945,708252.5059287362,9324000.68929715
362,106.881813,-6.11245,0.442251057291803,708252.9487498896,9324000.687747944
363,106.881818,-6.11245,0.552813823185945,708253.5022763336,9324000.68581143
364,106.881822,-6.11245,0.44225105886299426,708253.9450974908,9324000.684262214
365,106.881827,-6.11245,0.552813823185945,708254.498623939,9324000.682325691
